elapsed_s,connected,reconnects,last_frame_age_s,capture_fps,detection_fps,degraded,workers,det_frames,det_exceptions,det_avg_latency,rec_identified,rec_exceptions
1500.5,True,0,0.028,14.98,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12445,0,0.0479,0,0
1522.6,True,0,0.076,15.05,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12627,0,0.0467,0,0
1544.6,True,0,0.107,15.14,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12807,0,0.0492,0,0
1566.6,True,0,0.03,14.82,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",12991,0,0.0469,0,0
1588.7,True,0,0.022,15.14,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",13173,0,0.0477,0,0
1610.7,True,0,0.047,14.69,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",13355,0,0.0549,0,0
1632.8,True,0,0.025,14.68,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",13543,0,0.045,0,0
1654.8,True,0,0.028,15.11,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",13723,0,0.0438,0,0
1676.8,True,0,0.044,14.97,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",13902,0,0.0457,0,0
1698.9,True,0,0.096,15.15,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14078,0,0.0465,0,0
1720.9,True,0,0.046,14.56,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14259,0,0.0453,0,0
1742.9,True,0,0.029,15.1,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14439,0,0.0445,0,0
1765.0,True,0,0.049,15.24,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14623,0,0.0413,0,0
1787.0,True,0,0.028,15.19,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14804,0,0.0474,0,0
1809.0,True,0,0.031,14.72,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",14983,0,0.0503,0,0
1831.0,True,0,0.03,15.26,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",15164,0,0.0458,0,0
1853.0,True,0,0.03,14.95,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",15346,0,0.0465,0,0
1875.1,True,0,0.028,14.85,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",15530,0,0.0536,0,0
1897.1,True,0,0.012,14.6,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",15711,0,0.0479,0,0
1919.1,True,0,0.055,14.68,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",15894,0,0.0456,0,0
1941.1,True,0,0.007,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",16077,0,0.0478,0,0
